Song,Artist,Year
"""No Air"" ",Jordin Sparks and Chris Brown,2008
"""Love Song"" ",Sara Bareilles,2008
"""Love in This Club"" ",Usher featuring Young Jeezy,2008
"""With You"" ",Chris Brown,2008
"""Forever"" ",Chris Brown,2008
"""Sexy Can I"" ",Ray J featuring Yung Berg,2008
"""Take a Bow"" ",Rihanna,2008
"""Viva la Vida"" ",Coldplay,2008
"""I Kissed a Girl” ",Katy Perry,2008
"""Whatever You Like"" ",T.I.,2008
"""Disturbia"" ",Rihanna,2008
"""Don't Stop the Music"" ",Rihanna,2008
"""Pocketful of Sunshine"" ",Natasha Bedingfield,2008
"""Kiss Kiss"" ",Chris Brown featuring T-Pain,2008
"""Closer"" ",Ne-Yo,2008
"""Boom Boom Pow"" ",The Black Eyed Peas,2009
"""Poker Face"" ",Lady Gaga,2009
"""Just Dance"" ",Lady Gaga featuring Colby O'Donis,2009
"""I Gotta Feeling"" ",The Black Eyed Peas,2009
"""Love Story"" ",Taylor Swift,2009
"""Right Round"" ",Flo Rida,2009
"""I'm Yours"" ",Jason Mraz,2009
"""Single Ladies (Put a Ring on It)"" ",Beyoncé,2009
"""Heartless"" ",Kanye West,2009
"""Gives You Hell"" ",The All-American Rejects,2009
"""You Belong with Me"" ",Taylor Swift,2009
"""Dead and Gone"" ",T.I. featuring Justin Timberlake,2009
"""You Found Me"" ",The Fray,2009
"""Use Somebody"" ",Kings of Leon,2009
"""Knock You Down"" ",Keri Hilson featuring Kanye West and Ne-Yo,2009
"""Blame It"" ",Jamie Foxx featuring T-Pain,2009
"""I Know You Want Me (Calle Ocho)"" ",Pitbull,2009
"""Live Your Life""",T.I. featuring Rihanna,2009
"""Kiss Me thru the Phone"" ",Soulja Boy Tell 'Em featuring Sammie,2009
"""Down"" ",Jay Sean featuring Lil Wayne,2009
"""Tik Tok"" ",Kesha,2010
"""Need You Now"" ",Lady Antebellum,2010
"""Hey, Soul Sister"" ",Train,2010
"""California Gurls"" ",Katy Perry featuring Snoop Dogg,2010
"""OMG""  ",Usher featuring will.i.am,2010
"""Airplanes"" ",B.o.B featuring Hayley Williams,2010
"""Love the Way You Lie"" ",Eminem featuring Rihanna,2010
"""Bad Romance""",Lady Gaga,2010
"""Dynamite"" ",Taio Cruz,2010
" ""Break Your Heart"" ",Taio Cruz featuring Ludacris,2010
"""Nothin' on You"" ",B.o.B featuring Bruno Mars,2010
"""I Like It"" ",Enrique Iglesias featuring Pitbull,2010
"""BedRock"" ",Young Money featuring Lloyd,2010
"""In My Head""",Jason Derulo,2010
"""Rude Boy"" ",Rihanna,2010
"""Telephone"" ",Lady Gaga featuring Beyoncé,2010
"""Teenage Dream"" ",Katy Perry,2010
"""Just the Way You Are"" ",Bruno Mars,2010
"""Cooler Than Me"" ",Mike Posner,2010
"""Imma Be"" ",The Black Eyed Peas,2010
"""Rolling in the Deep"" ",Adele,2011
"""Party Rock Anthem"" ",LMFAO featuring Lauren Bennett and GoonRock,2011
"""Firework"" ",Katy Perry,2011
"""E.T."" ",Katy Perry featuring Kanye West,2011
"""Give Me Everything"" ","Pitbull featuring Ne-Yo, Afrojack and Nayer",2011
"""Grenade"" ",Bruno Mars,2011
"""Fuck You (Forget You)"" ",CeeLo Green,2011
"""Super Bass"" ",Nicki Minaj,2011
"""Moves like Jagger"" ",Maroon 5 featuring Christina Aguilera,2011
"""Just Can't Get Enough"" ",The Black Eyed Peas,2011
"""On the Floor"" ",Jennifer Lopez featuring Pitbull,2011
"""S&M"" ",Rihanna,2011
"""Pumped Up Kicks"" ",Foster the People,2011
"""Last Friday Night (T.G.I.F.)"" ",Katy Perry,2011
"""Just the Way You Are"" ",Bruno Mars,2011
"""Tonight (I'm Lovin' You)"" ",Enrique Iglesias featuring Ludacris and DJ Frank E,2011
"""Raise Your Glass"" ",Pink,2011
"""Born This Way"" ",Lady Gaga,2011
"""Fuckin' Perfect"" ",Pink,2011
"""What's My Name?"" ",Rihanna featuring Drake,2011
"""Somebody That I Used to Know"" ",Gotye featuring Kimbra,2012
"""Call Me Maybe"" ",Carly Rae Jepsen,2012
"""We Are Young"" ",Fun featuring Janelle Monáe,2012
"""Payphone"" ",Maroon 5 featuring Wiz Khalifa,2012
"""Lights” ",Ellie Goulding,2012
"""Glad You Came"" ",The Wanted,2012
"""Stronger (What Doesn't Kill You)"" ",Kelly Clarkson,2012
"""We Found Love"" ",Rihanna featuring Calvin Harris,2012
"""Starships"" ",Nicki Minaj,2012
"""What Makes You Beautiful"" ",One Direction,2012
"""Wild Ones"" ",Flo Rida featuring Sia,2012
"""Set Fire to the Rain"" ",Adele,2012
"""Sexy and I Know It"" ",LMFAO,2012
"""Some Nights"" ",Fun,2012
"""Wide Awake"" ",Katy Perry,2012
"""Good Feeling"" ",Flo Rida,2012
"""Whistle"" ",Flo Rida,2012
"""One More Night"" ",Maroon 5,2012
"""Drive By"" ",Train,2012
"""The Motto"" ",Drake featuring Lil Wayne,2012
"""Thrift Shop"" ",Macklemore & Ryan Lewis featuring Wanz,2013
"""Blurred Lines"" ",Robin Thicke featuring T.I. and Pharrell Williams,2013
"""Radioactive"" ",Imagine Dragons,2013
"""Harlem Shake"" ",Baauer,2013
"""Can't Hold Us"" ",Macklemore & Ryan Lewis featuring Ray Dalton,2013
"""Mirrors"" ",Justin Timberlake,2013
"""Just Give Me a Reason"" ",Pink featuring Nate Ruess,2013
"""When I Was Your Man"" ",Bruno Mars,2013
"""Cruise"" ",Florida Georgia Line featuring Nelly,2013
"""Roar"" ",Katy Perry,2013
"""Locked Out of Heaven"" ",Bruno Mars,2013
"""Ho Hey"" ",The Lumineers,2013
"""Stay"" ",Rihanna featuring Mikky Ekko,2013
"""Get Lucky"" ",Daft Punk featuring Pharrell Williams,2013
"""Royals"" ",Lorde,2013
"""I Knew You Were Trouble"" ",Taylor Swift,2013
"""We Can't Stop” ",Miley Cyrus,2013
"""Wrecking Ball"" ",Miley Cyrus,2013
"""Wake Me Up"" ",Avicii,2013
"""Suit & Tie"" ",Justin Timberlake featuring Jay-Z,2013
"""Happy"" ",Pharrell Williams,2014
"""Dark Horse"" ",Katy Perry featuring Juicy J,2014
"""All of Me"" ",John Legend,2014
"""Fancy"" ",Iggy Azalea featuring Charli XCX,2014
"""Counting Stars"" ",OneRepublic,2014
"""Talk Dirty"" ",Jason Derulo featuring 2 Chainz,2014
"""Rude"" ",Magic!,2014
"""All About That Bass""  ",Meghan Trainor,2014
"""Problem"" ",Ariana Grande featuring Iggy Azalea,2014
"""Stay with Me"" ",Sam Smith,2014
"""Timber"" ",Pitbull featuring Kesha,2014
"""Pompeii""",Bastille,2014
"""Shake It Off"" ",Taylor Swift,2014
"""Am I Wrong"" ",Nico & Vinz,2014
"""Turn Down for What"" ",DJ Snake and Lil Jon,2014
"""The Monster"" ",Eminem featuring Rihanna,2014
"""Say Something"" ",A Great Big World and Christina Aguilera,2014
"""Team"" ",Lorde,2014
"""Let Her Go"" ",Passenger,2014
"""Royals"" ",Lorde,2014
"""Uptown Funk"" ",Mark Ronson featuring Bruno Mars,2015
"""Thinking Out Loud"" ",Ed Sheeran,2015
"""See You Again"" ",Wiz Khalifa featuring Charlie Puth,2015
"""Trap Queen"" ",Fetty Wap,2015
"""Sugar"" ",Maroon 5,2015
"""Shut Up and Dance"" ",Walk the Moon,2015
"""Blank Space"" ",Taylor Swift,2015
"""Watch Me"" ",Silentó,2015
"""Earned It"" ",The Weeknd,2015
"""The Hills"" ",The Weeknd,2015
"""Cheerleader (Felix Jaehn Remix)"" ",OMI,2015
"""Can't Feel My Face"" ",The Weeknd,2015
"""Love Me Like You Do"" ",Ellie Goulding,2015
"""Take Me to Church"" ",Hozier,2015
"""Bad Blood"" ",Taylor Swift featuring Kendrick Lamar,2015
"""Lean On"" ",Major Lazer and DJ Snake featuring MØ,2015
"""Want to Want Me"" ",Jason Derulo,2015
"""Shake It Off"" ",Taylor Swift,2015
"""Where Are Ü Now"" ",Jack Ü featuring Justin Bieber,2015
"""Fight Song"" ",Rachel Platten,2015
"""Love Yourself"" ",Justin Bieber,2016
"""Sorry"" ",Justin Bieber,2016
"""One Dance"" ",Drake featuring Wizkid and Kyla,2016
"""Work"" ",Rihanna featuring Drake,2016
"""Stressed Out"" ",Twenty One Pilots,2016
"""Panda"" ",Desiigner,2016
"""Hello"" ",Adele,2016
"""Don't Let Me Down"" ",The Chainsmokers featuring Daya,2016
"""Can't Stop the Feeling!"" ",Justin Timberlake,2016
"""Closer"" ",The Chainsmokers featuring Halsey,2016
"""Cheap Thrills"" ",Sia featuring Sean Paul,2016
"""7 Years""",Lukas Graham,2016
"""Needed Me"" ",Rihanna,2016
"""My House"" ",Flo Rida,2016
"""I Took a Pill in Ibiza"" ",Mike Posner,2016
"""Work from Home"" ",Fifth Harmony featuring Ty Dolla Sign,2016
"""This Is What You Came For"" ",Calvin Harris featuring Rihanna,2016
"""Cake by the Ocean"" ",DNCE,2016
"""Me, Myself & I"" ",G-Eazy and Bebe Rexha,2016
"""Ride"" ",Twenty One Pilots,2016
"""Shape of You"" ",Ed Sheeran,2017
"""Despacito (Remix)"" ",Luis Fonsi and Daddy Yankee featuring Justin Bieber,2017
"""That's What I Like"" ",Bruno Mars,2017
"""Humble"" ",Kendrick Lamar,2017
"""Something Just Like This"" ",The Chainsmokers and Coldplay,2017
"""Bad and Boujee"" ",Migos featuring Lil Uzi Vert,2017
"""Closer"" ",The Chainsmokers featuring Halsey,2017
"""Body Like a Back Road"" ",Sam Hunt,2017
"""Believer"" ",Imagine Dragons,2017
"""Congratulations"" ",Post Malone featuring Quavo,2017
"""Say You Won't Let Go"" ",James Arthur,2017
"""I'm the One"" ","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",2017
"""XO Tour Llif3""",Lil Uzi Vert,2017
"""Mask Off"" ",Future,2017
"""Unforgettable"" ",French Montana featuring Swae Lee,2017
"""24K Magic""",Bruno Mars,2017
"""Stay"" ",Zedd and Alessia Cara,2017
"""Wild Thoughts"" ",DJ Khaled featuring Rihanna and Bryson Tiller,2017
"""Black Beatles"" ",Rae Sremmurd featuring Gucci Mane,2017
"""Starboy"" ",The Weeknd featuring Daft Punk,2017
"""God's Plan"" Drake",Drake,2018
"""Perfect"" Ed Sheeran",Ed Sheeran,2018
"""Meant to Be"" ",Bebe Rexha featuring Florida Georgia Line,2018
"""Havana"" ",Camila Cabello featuring Young Thug,2018
"""Rockstar"" ",Post Malone featuring 21 Savage,2018
"""Psycho"" ",Post Malone featuring Ty Dolla Sign,2018
"""I Like It"" ","Cardi B, Bad Bunny and J Balvin",2018
"""The Middle"" ","Zedd, Maren Morris and Grey",2018
"""In My Feelings"" ",Drake,2018
"""Girls Like You"" ",Maroon 5 featuring Cardi B,2018
"""Nice for What"" ",Drake,2018
"""Lucid Dreams"" ",Juice Wrld,2018
"""Better Now"" ",Post Malone,2018
"""Finesse"" ",Bruno Mars featuring Cardi B,2018
"""Boo'd Up"" ",Ella Mai,2018
"""New Rules"" ",Dua Lipa,2018
"""Sad!"" ",XXXTentacion,2018
"""Never Be the Same"" ",Camila Cabello,2018
"""Love Lies"" ",Khalid and Normani,2018
"""No Tears Left to Cry"" ",Ariana Grande,2018
"""Old Town Road"" ",Lil Nas X featuring Billy Ray Cyrus,2019
"""Sunflower"" ",Post Malone and Swae Lee,2019
"""Without Me"" ",Halsey,2019
"""Bad Guy"" ",Billie Eilish,2019
"""Wow"" ",Post Malone,2019
"""Happier"" ",Marshmello and Bastille,2019
"""7 Rings""",Ariana Grande,2019
"""Talk"" ",Khalid,2019
"""Sicko Mode"" ",Travis Scott,2019
"""Sucker"" ",Jonas Brothers,2019
"""High Hopes"" ",Panic! at the Disco,2019
"""Thank U, Next"" ",Ariana Grande,2019
"""Truth Hurts"" ",Lizzo,2019
"""Dancing with a Stranger"" ",Sam Smith and Normani,2019
"""Señorita"" ",Shawn Mendes and Camila Cabello,2019
"""I Don't Care"" ",Ed Sheeran and Justin Bieber,2019
"""Eastside"" ","Benny Blanco, Halsey and Khalid",2019
"""Going Bad"" ",Meek Mill featuring Drake,2019
"""Shallow"" ",Lady Gaga and Bradley Cooper,2019
"“Better"" ",Khalid,2019
"""Blinding Lights"" ",The Weeknd,2020
"""Circles"" ",Post Malone,2020
"""The Box"" ",Roddy Ricch,2020
"""Don't Start Now"" ",Dua Lipa,2020
"""Rockstar"" ",DaBaby featuring Roddy Ricch,2020
"""Adore You"" ",Harry Styles,2020
"""Life Is Good"" ",Future featuring Drake,2020
"""Memories"" ",Maroon 5,2020
"""The Bones"" ",Maren Morris,2020
"""Someone You Loved"" ",Lewis Capaldi,2020
"""Say So"" ",Doja Cat,2020
"""I Hope"" ",Gabby Barrett featuring Charlie Puth,2020
"""Whats Poppin"" ","Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne",2020
"""Dance Monkey"" ",Tones and I,2020
"""Savage"" ",Megan Thee Stallion featuring Beyoncé,2020
"""Roxanne"" ",Arizona Zervas,2020
"""Intentions"" ",Justin Bieber featuring Quavo,2020
"""Everything I Wanted"" ",Billie Eilish,2020
"""Roses (Imanbek remix)"" ",Saint Jhn,2020
"""Watermelon Sugar"" ",Harry Styles,2020
"""Levitating"" ",Dua Lipa,2021
"""Save Your Tears"" ",The Weeknd and Ariana Grande,2021
"""Blinding Lights"" ",The Weeknd,2021
"""Mood"" ",24kGoldn featuring Iann Dior,2021
"""Good 4 U""",Olivia Rodrigo,2021
"""Kiss Me More"" ",Doja Cat featuring SZA,2021
"""Leave the Door Open"" ",Silk Sonic (Bruno Mars and Anderson .Paak),2021
"""Drivers License"" ",Olivia Rodrigo,2021
"""Montero (Call Me by Your Name)"" ",Lil Nas X,2021
"""Peaches"" ",Justin Bieber featuring Daniel Caesar and Giveon,2021
"""Butter"" ",BTS,2021
"""Stay"" ",The Kid Laroi and Justin Bieber,2021
"""Deja Vu"" ",Olivia Rodrigo,2021
"""Positions"" ",Ariana Grande,2021
"""Bad Habits"" ",Ed Sheeran,2021
"""Heat Waves"" ",Glass Animals,2021
"""Without You"" ",The Kid Laroi,2021
"""Forever After All"" ",Luke Combs,2021
"""Go Crazy"" ",Chris Brown and Young Thug,2021
"""Astronaut in the Ocean"" ",Masked Wolf,2021
"""Heat Waves"" ",Glass Animals,2022
"""As It Was"" ",Harry Styles,2022
"""Stay"" ",The Kid Laroi and Justin Bieber,2022
"""Easy on Me"" ",Adele,2022
"""Shivers"" ",Ed Sheeran,2022
"""First Class"" ",Jack Harlow,2022
"""Big Energy"" ",Latto,2022
"""Ghost"" ",Justin Bieber,2022
"""Super Gremlin"" ",Kodak Black,2022
"""Cold Heart (Pnau Remix)"" ",Elton John and Dua Lipa,2022
"""Wait for U"" ",Future featuring Drake and Tems,2022
"""About Damn Time"" ",Lizzo,2022
"""Bad Habits"" ",Ed Sheeran,2022
"""Thats What I Want"" ",Lil Nas X,2022
"""Enemy"" ",Imagine Dragons and JID,2022
"""Industry Baby"" ",Lil Nas X and Jack Harlow,2022
"""ABCDEFU"" ",Gayle,2022
"“Need to Know"" ",Doja Cat,2022
"""Wasted on You"" ",Morgan Wallen,2022
"""Me Porto Bonito"" ",Bad Bunny and Chencho Corleone,2022
"""Last Night"" ",Morgan Wallen,2023
"""Flowers"" ",Miley Cyrus,2023
"""Kill Bill"" ",SZA,2023
"""Anti-Hero"" ",Taylor Swift,2023
"""Creepin'"" ","Metro Boomin, the Weeknd and 21 Savage",2023
"""Calm Down"" ",Rema and Selena Gomez,2023
"""Die for You"" ",The Weeknd and Ariana Grande,2023
"""Fast Car"" ",Luke Combs,2023
"""Snooze"" ",SZA,2023
"""I'm Good (Blue)"" ",David Guetta and Bebe Rexha,2023
"""Unholy"" ",Sam Smith and Kim Petras,2023
"""You Proof"" ",Morgan Wallen,2023
"""Something in the Orange"" ",Zach Bryan,2023
"""Rich Flex"" ",Drake and 21 Savage,2023
"""As It Was"" ",Harry Styles,2023
"""Rock and a Hard Place"" ",Bailey Zimmerman,2023
"""Under the Influence"" ",Chris Brown,2023
"""Cruel Summer"" ",Taylor Swift,2023
"""Thinkin' Bout Me"" ",Morgan Wallen,2023
"""Boy's a Liar Pt. 2""",PinkPantheress and Ice Spice,2023
"""Lose Control"" ",Teddy Swims,2024
"""A Bar Song (Tipsy)"" ",Shaboozey,2024
"""Beautiful Things"" ",Benson Boone,2024
"""I Had Some Help"" ",Post Malone featuring Morgan Wallen,2024
"""Lovin on Me"" ",Jack Harlow,2024
"""Not Like Us"" ",Kendrick Lamar,2024
"""Espresso"" ",Sabrina Carpenter,2024
"""Million Dollar Baby"" ",Tommy Richman,2024
"""I Remember Everything"" ",Zach Bryan featuring Kacey Musgraves,2024
"""Too Sweet"" ",Hozier,2024
"""Stick Season"" ",Noah Kahan,2024
"""Cruel Summer"" ",Taylor Swift,2024
"""Greedy” ",Tate McRae,2024
"""Like That"" ","Future, Metro Boomin and Kendrick Lamar",2024
"""Birds of a Feather"" ",Billie Eilish,2024
"""Please Please Please"" ",Sabrina Carpenter,2024
"""Agora Hills"" ",Doja Cat,2024
"""Good Luck, Babe!"" ",Chappell Roan,2024
"""Saturn"" ",SZA,2024
"""Snooze"" ",SZA,2024
"""Die with a Smile"" ",Lady Gaga and Bruno Mars,2025
"""Luther"" ",Kendrick Lamar and SZA,2025
"""A Bar Song (Tipsy)"" ",Shaboozey,2025
"""Lose Control"" ",Teddy Swims,2025
"""Birds of a Feather"" ",Billie Eilish,2025
"""Beautiful Things"" ",Benson Boone,2025
"""Ordinary"" ",Alex Warren,2025
"""I Had Some Help"" ",Post Malone featuring Morgan Wallen,2025
"""APT."" ",Rosé and Bruno Mars,2025
"""Pink Pony Club"" ",Chappell Roan,2025
"""Love Somebody"" ",Morgan Wallen,2025
"""Espresso"" ",Sabrina Carpenter,2025
"""I'm the Problem"" ",Morgan Wallen,2025
"""That's So True"" ",Gracie Abrams,2025
"""TV Off"" ",Kendrick Lamar featuring Lefty Gunplay,2025
"""Timeless"" ",The Weeknd and Playboi Carti,2025
"""Not Like Us"" ",Kendrick Lamar,2025
"""Just in Case"" ",Morgan Wallen,2025
"""Taste"" ",Sabrina Carpenter,2025
"""Squabble Up"" ",Kendrick Lamar,2025
